id,admin_level,admin_name,area_id,common_id,,dimension_id,dimension_name,F/M,Unit,year,value,colnames
24,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,1995,0.43755447,EI_M
25,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,1995,0.37382326,EI_M
26,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,1995,0.44702726,EI_M
27,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,1995,0.72209,LFI_F
28,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,1995,0.65879,LFI_F
29,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,1995,0.60671,LFI_F
30,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,1995,0.79948,LFI_F
31,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,1995,0.77203,LFI_F
32,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,1995,0.81236,LFI_M
33,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,1995,0.82895,LFI_M
34,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,1995,0.85489,LFI_M
35,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,1995,0.82078,LFI_M
36,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,1995,0.84561,LFI_M
37,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,1995,0.02486085,RHI_F
38,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,1995,0.01182353,RHI_F
39,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,1995,0.0733566,RHI_F
40,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,1995,0.05797609,RHI_F
41,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,1995,0.01463642,RHI_F
42,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,1995,1,RHI_M
43,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,1995,1,RHI_M
44,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,1995,1,RHI_M
45,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,1995,1,RHI_M
46,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,1995,1,RHI_M
47,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2000,0.28002857,EI_F
48,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2000,0.07503159,EI_F
49,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2000,0.17214286,EI_F
50,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2000,0.11267931,EI_F
51,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2000,0.53299719,EI_M
52,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2000,0.3835774,EI_M
53,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2000,0.46783872,EI_M
54,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2000,0.52615631,EI_M
55,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2000,0.7198,LFI_F
56,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2000,0.65615,LFI_F
57,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2000,0.59113,LFI_F
58,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2000,0.79059,LFI_F
59,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2000,0.76846,LFI_F
60,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2000,0.80978,LFI_M
61,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2000,0.81078,LFI_M
62,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2000,0.84923,LFI_M
63,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2000,0.81102,LFI_M
64,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2000,0.81003,LFI_M
65,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2000,0.0274396,RHI_F
66,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2000,0.01429266,RHI_F
67,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2000,0.07130618,RHI_F
68,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2000,0.07030875,RHI_F
69,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2000,0.01994528,RHI_F
70,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2000,1,RHI_M
71,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2000,1,RHI_M
72,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2000,1,RHI_M
73,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2000,1,RHI_M
74,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2000,1,RHI_M
75,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2005,0.34915237,EI_F
76,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2005,0.09460059,EI_F
77,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2005,0.20492881,EI_F
78,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2005,0.17641751,EI_F
79,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2005,0.6415649,EI_M
80,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2005,0.42791199,EI_M
81,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2005,0.49767831,EI_M
82,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2005,0.56723593,EI_M
83,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2005,0.717,LFI_F
84,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2005,0.64594,LFI_F
85,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2005,0.56254,LFI_F
86,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2005,0.77855,LFI_F
87,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2005,0.75737,LFI_F
88,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2005,0.80781,LFI_M
89,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2005,0.80901,LFI_M
90,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2005,0.83754,LFI_M
91,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2005,0.79803,LFI_M
92,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2005,0.86877,LFI_M
93,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2005,0.03002947,RHI_F
94,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2005,0.01776699,RHI_F
95,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2005,0.07449332,RHI_F
96,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2005,0.08145602,RHI_F
97,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2005,0.02431515,RHI_F
98,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2005,1,RHI_M
99,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2005,1,RHI_M
100,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2005,1,RHI_M
101,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2005,1,RHI_M
102,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2005,1,RHI_M
103,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2010,0.39266364,EI_F
104,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2010,0.13695142,EI_F
105,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2010,0.24020095,EI_F
106,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2010,0.09635537,EI_F
107,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2010,0.22317922,EI_F
108,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2010,0.74466153,EI_M
109,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2010,0.43100294,EI_M
110,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2010,0.52616221,EI_M
111,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2010,0.59229749,EI_M
112,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2010,0.38265027,EI_M
113,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2010,0.71389,LFI_F
114,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2010,0.63858,LFI_F
115,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2010,0.53628,LFI_F
116,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2010,0.7683,LFI_F
117,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2010,0.81767,LFI_F
118,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2010,0.81382,LFI_M
119,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2010,0.80052,LFI_M
120,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2010,0.82299,LFI_M
121,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2010,0.79355,LFI_M
122,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2010,0.89046,LFI_M
123,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2010,0.03374993,RHI_F
124,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2010,0.02180343,RHI_F
125,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2010,0.07490101,RHI_F
126,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2010,0.08311969,RHI_F
127,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2010,0.02929725,RHI_F
128,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2010,1,RHI_M
129,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2010,1,RHI_M
130,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2010,1,RHI_M
131,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2010,1,RHI_M
132,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2010,1,RHI_M
133,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2011,0.38348883,EI_F
134,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2011,0.14053215,EI_F
135,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2011,0.2488172,EI_F
136,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2011,0.08391485,EI_F
137,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2011,0.24009314,EI_F
138,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2011,0.75399735,EI_M
139,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2011,0.43984999,EI_M
140,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2011,0.53718712,EI_M
141,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2011,0.59404434,EI_M
142,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2011,0.39956335,EI_M
143,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2011,0.72593,LFI_F
144,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2011,0.65969,LFI_F
145,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2011,0.53329,LFI_F
146,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2011,0.76804,LFI_F
147,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2011,0.82443,LFI_F
148,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2011,0.82025,LFI_M
149,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2011,0.80981,LFI_M
150,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2011,0.82072,LFI_M
151,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2011,0.7952,LFI_M
152,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2011,0.89633,LFI_M
153,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2011,0.03448437,RHI_F
154,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2011,0.02272926,RHI_F
155,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2011,0.07422972,RHI_F
156,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2011,0.08173408,RHI_F
157,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2011,0.03017271,RHI_F
158,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2011,1,RHI_M
159,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2011,1,RHI_M
160,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2011,1,RHI_M
161,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2011,1,RHI_M
162,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2011,1,RHI_M
163,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2012,0.38738838,EI_F
164,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2012,0.14587414,EI_F
165,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2012,0.2581085,EI_F
166,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2012,0.10708597,EI_F
167,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2012,0.24338278,EI_F
168,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2012,0.75652981,EI_M
169,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2012,0.44712924,EI_M
170,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2012,0.5472568,EI_M
171,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2012,0.60174822,EI_M
172,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2012,0.41022276,EI_M
173,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2012,0.72837,LFI_F
174,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2012,0.65169,LFI_F
175,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2012,0.52975,LFI_F
176,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2012,0.76798,LFI_F
177,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2012,0.79002,LFI_F
178,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2012,0.81895,LFI_M
179,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2012,0.80876,LFI_M
180,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2012,0.81776,LFI_M
181,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2012,0.79712,LFI_M
182,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2012,0.88335,LFI_M
183,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2012,0.03518155,RHI_F
184,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2012,0.02366663,RHI_F
185,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2012,0.07458802,RHI_F
186,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2012,0.08128491,RHI_F
187,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2012,0.03122212,RHI_F
188,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2012,1,RHI_M
189,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2012,1,RHI_M
190,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2012,1,RHI_M
191,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2012,1,RHI_M
192,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2012,1,RHI_M
193,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2013,0.39124908,EI_F
194,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2013,0.15102729,EI_F
195,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2013,0.26707677,EI_F
196,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2013,0.10931668,EI_F
197,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2013,0.24662535,EI_F
198,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2013,0.75905881,EI_M
199,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2013,0.45429186,EI_M
200,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2013,0.55714451,EI_M
201,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2013,0.60936163,EI_M
202,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2013,0.42381436,EI_M
203,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2013,0.73723,LFI_F
204,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2013,0.62435,LFI_F
205,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2013,0.52587,LFI_F
206,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2013,0.76795,LFI_F
207,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2013,0.75161,LFI_F
208,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2013,0.83002,LFI_M
209,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2013,0.79397,LFI_M
210,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2013,0.81428,LFI_M
211,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2013,0.79901,LFI_M
212,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2013,0.86891,LFI_M
213,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2013,0.03576474,RHI_F
214,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2013,0.02460282,RHI_F
215,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2013,0.07315373,RHI_F
216,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2013,0.0800146,RHI_F
217,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2013,0.03208763,RHI_F
218,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2013,1,RHI_M
219,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2013,1,RHI_M
220,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2013,1,RHI_M
221,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2013,1,RHI_M
222,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2013,1,RHI_M
223,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2014,0.3942373,EI_F
224,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2014,0.15601033,EI_F
225,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2014,0.27575351,EI_F
226,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2014,0.10788978,EI_F
227,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2014,0.15537005,EI_F
228,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2014,0.76209307,EI_M
229,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2014,0.4613433,EI_M
230,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2014,0.56685977,EI_M
231,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2014,0.65582255,EI_M
232,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2014,0.43765152,EI_M
233,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2014,0.73882,LFI_F
234,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2014,0.61432,LFI_F
235,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2014,0.5221,LFI_F
236,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2014,0.76791,LFI_F
237,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2014,0.74823,LFI_F
238,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2014,0.83098,LFI_M
239,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2014,0.78504,LFI_M
240,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2014,0.81077,LFI_M
241,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2014,0.80072,LFI_M
242,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2014,0.87033,LFI_M
243,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2014,0.03644133,RHI_F
244,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2014,0.02557834,RHI_F
245,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2014,0.07273845,RHI_F
246,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2014,0.0796728,RHI_F
247,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2014,0.03304693,RHI_F
248,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2014,1,RHI_M
249,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2014,1,RHI_M
250,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2014,1,RHI_M
251,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2014,1,RHI_M
252,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2014,1,RHI_M
253,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2015,0.3942373,EI_F
254,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2015,0.15829017,EI_F
255,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2015,0.27575351,EI_F
256,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2015,0.18810851,EI_F
257,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2015,0.15718242,EI_F
258,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2015,0.76460213,EI_M
259,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2015,0.45980144,EI_M
260,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2015,0.56685977,EI_M
261,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2015,0.65582255,EI_M
262,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2015,0.41717425,EI_M
263,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2015,0.73259,LFI_F
264,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2015,0.60936,LFI_F
265,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2015,0.51858,LFI_F
266,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2015,0.76772,LFI_F
267,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2015,0.74291,LFI_F
268,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,2015,0.83261,LFI_M
269,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,2015,0.77736,LFI_M
270,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,2015,0.80744,LFI_M
271,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,2015,0.80206,LFI_M
272,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,2015,0.86925,LFI_M
273,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,2015,0.03691773,RHI_F
274,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,2015,0.02659143,RHI_F
275,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,2015,0.07143962,RHI_F
276,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,2015,0.07850094,RHI_F
277,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,2015,0.03392414,RHI_F
278,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,2015,1,RHI_M
279,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,2015,1,RHI_M
280,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,2015,1,RHI_M
281,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,2015,1,RHI_M
282,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,2015,1,RHI_M
283,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,2016,0.4173978,EI_F
284,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,2016,0.16318946,EI_F
285,country,Laos,123,1,Empowerment,1,Empowerment index,female,number,2016,0.29812734,EI_F
286,country,Myanmar,154,1,Empowerment,1,Empowerment index,female,number,2016,0.16831435,EI_F
287,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,2016,0.16074589,EI_F
288,country,Vietnam,250,1,Empowerment,2,Empowerment index,male,number,2016,0.75454701,EI_M
289,country,Cambodia,40,1,Empowerment,2,Empowerment index,male,number,2016,0.46672349,EI_M
290,country,Laos,123,1,Empowerment,2,Empowerment index,male,number,2016,0.56665659,EI_M
291,country,Thailand,228,1,Empowerment,2,Empowerment index,male,number,2016,0.66765803,EI_M
292,country,Myanmar,154,1,Empowerment,2,Empowerment index,male,number,2016,0.43669495,EI_M
293,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,2016,0.72927,LFI_F
294,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,2016,0.60026,LFI_F
295,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,2016,0.49891,LFI_F
296,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,2016,0.76743,LFI_F
297,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,2016,0.76544,LFI_F
